Loan_ID,Age,Gender,Marital_Status,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Debt_to_Income_Ratio,Loan_Status,Loan_Status_Numeric
L0001,59,Female,Single,Self-employed,71944.33,76552.53,48,742,0.48089897917007224,Rejected,0
L0002,49,Male,Married,Salaried,20000.0,29750.36,24,624,0.4894859808366292,Approved,1
L0003,35,Female,Married,Salaried,40308.05,49300.23,24,579,0.5266686181101157,Rejected,0
L0004,63,Female,Single,Unemployed,20000.0,10986.38,12,707,0.5030756880342071,Rejected,0
L0005,28,Female,Married,Self-employed,20000.0,15502.96,36,664,0.47234454678906174,Rejected,0
L0006,41,Male,Divorced,Salaried,34355.48,71941.41,48,504,0.5051442609159227,Rejected,0
L0007,59,Male,Married,Salaried,135641.87,321341.11,48,737,0.4626769370167812,Approved,1
L0008,39,Male,Married,Self-employed,20000.0,10171.55,12,623,0.5155825507083411,Approved,1
L0009,43,Male,Single,Self-employed,105108.39,233591.01,60,727,0.4830913696709693,Approved,1
L0010,31,Male,Married,Salaried,111052.04,216301.13,48,654,0.499604340665342,Approved,1
L0011,31,Female,Single,Salaried,47768.23,89314.13,36,621,0.5201808797043637,Approved,1
L0012,44,Male,Married,Self-employed,82851.98,112684.0,48,650,0.5260409104267421,Approved,1
L0013,56,Male,Single,Salaried,20000.0,23263.02,24,668,0.4652763818381126,Approved,1
L0014,60,Male,Single,Salaried,20237.18,26738.83,12,679,0.4905174410739836,Approved,1
L0015,44,Male,Single,Salaried,91894.57,156489.99,48,629,0.5184777257103631,Rejected,0
L0016,23,Female,Single,Salaried,31060.31,74342.52,36,597,0.5033850136476167,Rejected,0
L0017,42,Male,Married,Salaried,46810.15,42781.93,36,648,0.5200042011269221,Rejected,0
L0018,22,Male,Married,Self-employed,24680.47,60401.88,48,610,0.49113060398059627,Rejected,0
L0019,44,Female,Married,Salaried,33990.64,32826.16,36,582,0.5245106278273655,Rejected,0
L0020,64,Male,Married,Unemployed,44472.26,97462.7,36,640,0.5116732237847534,Approved,1
L0021,50,Male,Divorced,Self-employed,51279.21,93331.14,36,621,0.49508037585608955,Approved,1
L0022,58,Male,Married,Self-employed,97589.61,194211.3,36,619,0.5208093431644341,Approved,1
L0023,22,Male,Single,Salaried,40697.04,88034.41,12,599,0.5106535826829233,Approved,1
L0024,41,Male,Married,Self-employed,20000.0,10470.34,12,707,0.5157363485509635,Approved,1
L0025,53,Male,Single,Unemployed,29072.41,56643.79,12,573,0.5105135131736057,Rejected,0
