Loan_ID,Age,Gender,Marital_Status,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Debt_to_Income_Ratio,Loan_Status
L0001,59,Female,Single,Self-employed,71944.33,76552.53,48,742,0.5,Rejected
L0002,49,Male,Married,Salaried,20000.0,29750.36,24,624,0.5,Approved
L0003,35,Female,Married,Salaried,40308.05,49300.23,24,579,0.5,Rejected
L0004,63,Female,Single,Unemployed,20000.0,10986.38,12,707,0.5,Rejected
L0005,28,Female,Married,Self-employed,20000.0,15502.96,36,664,0.5,Rejected
L0006,41,Male,Divorced,Salaried,34355.48,71941.41,48,504,0.5,Rejected
L0007,59,Male,Married,Salaried,135641.87,321341.11,48,737,0.5,Approved
L0008,39,Male,Married,Self-employed,20000.0,10171.55,12,623,0.5,Approved
L0009,43,Male,Single,Self-employed,105108.39,233591.01,60,727,0.5,Approved
L0010,31,Male,Married,Salaried,111052.04,216301.13,48,654,0.5,Approved
L0011,31,Female,Single,Salaried,47768.23,89314.13,36,621,0.5,Approved
L0012,44,Male,Married,Self-employed,82851.98,112684.0,48,650,0.5,Approved
L0013,56,Male,Single,Salaried,20000.0,23263.02,24,668,0.5,Approved
L0014,60,Male,Single,Salaried,20237.18,26738.83,12,679,0.5,Approved
L0015,44,Male,Single,Salaried,91894.57,156489.99,48,629,0.5,Rejected
L0016,23,Female,Single,Salaried,31060.31,74342.52,36,597,0.5,Rejected
L0017,42,Male,Married,Salaried,46810.15,42781.93,36,648,0.5,Rejected
L0018,22,Male,Married,Self-employed,24680.47,60401.88,48,610,0.5,Rejected
L0019,44,Female,Married,Salaried,33990.64,32826.16,36,582,0.5,Rejected
L0020,64,Male,Married,Unemployed,44472.26,97462.7,36,640,0.5,Approved
L0021,50,Male,Divorced,Self-employed,51279.21,93331.14,36,621,0.5,Approved
L0022,58,Male,Married,Self-employed,97589.61,194211.3,36,619,0.5,Approved
L0023,22,Male,Single,Salaried,40697.04,88034.41,12,599,0.5,Approved
L0024,41,Male,Married,Self-employed,20000.0,10470.34,12,707,0.5,Approved
L0025,53,Male,Single,Unemployed,29072.41,56643.79,12,573,0.5,Rejected
L0026,32,Female,Single,Salaried,96750.2,241041.26,60,677,0.5,Rejected
L0027,42,Male,Married,Salaried,72201.24,107523.31,24,673,0.5,Approved
L0028,64,Female,Single,Salaried,30265.51,47933.45,12,687,0.5,Approved
L0029,45,Female,Married,Salaried,25069.96,17849.11,12,668,0.5,Rejected
L0030,47,Male,Married,Salaried,26343.99,31126.39,48,611,0.5,Rejected
L0031,62,Male,Single,Salaried,20000.0,34500.29,12,682,0.5,Approved
L0032,48,Male,Married,Salaried,52010.71,38484.95,24,570,0.5,Rejected
L0033,36,Female,Single,Salaried,107975.17,125976.2,48,718,0.5,Approved
L0034,35,Female,Married,Self-employed,24022.42,28726.27,36,684,0.5,Rejected
L0035,64,Female,Single,Self-employed,20000.0,42515.39,48,530,0.5,Rejected
L0036,23,Male,Married,Unemployed,45615.72,71858.56,24,657,0.5,Rejected
L0037,57,Female,Single,Salaried,23432.59,37700.64,24,639,0.5,Approved
L0038,27,Male,Divorced,Salaried,38342.62,40818.73,12,670,0.5,Rejected
L0039,41,Male,Married,Self-employed,90588.58,102080.07,12,602,0.5,Approved
L0040,29,Male,Married,Self-employed,20000.0,28048.05,60,590,0.5,Rejected
L0041,59,Male,Divorced,Salaried,29987.29,63986.77,48,670,0.5,Approved
L0042,38,Male,Married,Salaried,53338.66,60479.63,24,705,0.5,Rejected
L0043,24,Female,Single,Unemployed,52792.84,60341.77,36,625,0.5,Rejected
L0044,45,Female,Divorced,Salaried,20000.0,32761.85,36,621,0.5,Approved
L0045,34,Female,Single,Salaried,48095.59,104827.2,36,640,0.5,Rejected
L0046,29,Male,Married,Salaried,141792.94,213791.49,60,611,0.5,Rejected
L0047,46,Female,Married,Unemployed,130829.4,99007.84,24,550,0.5,Rejected
L0048,22,Male,Married,Salaried,43900.07,102316.99,36,632,0.5,Approved
L0049,40,Male,Married,Self-employed,48111.34,69384.89,36,727,0.5,Approved
L0050,48,Male,Married,Salaried,44756.03,91642.67,36,573,0.5,Rejected
L0051,27,Male,Single,Salaried,34420.43,20192.82,12,540,0.5,Rejected
L0052,64,Male,Married,Salaried,41370.11,89874.08,48,732,0.5,Approved
L0053,28,Male,Divorced,Salaried,20000.0,12333.5,12,720,0.5,Approved
L0054,55,Male,Divorced,Unemployed,89661.62,218340.91,48,653,0.5,Rejected
L0055,34,Female,Divorced,Self-employed,27583.41,62914.14,12,677,0.5,Rejected
L0056,37,Male,Married,Salaried,32700.23,33785.2,24,649,0.5,Rejected
L0057,56,Female,Single,Salaried,47664.42,45141.59,12,553,0.5,Approved
L0058,60,Female,Married,Salaried,33623.06,69489.51,12,677,0.5,Rejected
L0059,24,Male,Married,Self-employed,25534.2,20511.13,24,688,0.5,Approved
L0060,22,Female,Single,Salaried,65049.94,145489.51,48,666,0.5,Approved
L0061,26,Male,Divorced,Salaried,20000.0,11276.51,24,563,0.5,Rejected
L0062,62,Female,Married,Salaried,44181.28,79668.98,48,491,0.5,Rejected
L0063,24,Male,Married,Salaried,105514.92,107638.79,60,600,0.5,Rejected
L0064,49,Female,Married,Salaried,23248.12,50800.87,36,565,0.5,Rejected
L0065,38,Female,Single,Salaried,20000.0,25082.37,24,581,0.5,Rejected
L0066,46,Female,Divorced,Salaried,37518.95,51227.69,60,639,0.5,Rejected
L0067,64,Female,Married,Self-employed,67184.04,53149.53,48,778,0.5,Approved
L0068,54,Male,Married,Unemployed,73162.55,128217.7,24,634,0.5,Rejected
L0069,30,Male,Divorced,Salaried,26821.34,38658.05,12,599,0.5,Rejected
L0070,56,Male,Married,Salaried,118789.02,61459.54,36,664,0.5,Rejected
L0071,34,Male,Single,Self-employed,54073.78,106077.12,48,649,0.5,Rejected
L0072,51,Male,Married,Self-employed,24773.76,18732.47,36,708,0.5,Approved
L0073,35,Female,Married,Salaried,34964.91,54275.26,36,553,0.5,Rejected
L0074,28,Male,Single,Salaried,59499.46,93899.66,48,590,0.5,Rejected
L0075,34,Female,Single,Self-employed,60464.33,66436.4,12,697,0.5,Rejected
L0076,43,Female,Married,Salaried,39673.21,37978.0,24,718,0.5,Approved
L0077,60,Male,Married,Salaried,30920.34,34714.26,36,677,0.5,Rejected
